matricule,nom_eleve,note,date
2025-001,Kouassi Jean,9.9,2026-02-11
2025-001,Kouassi Jean,9.9,2026-03-13
2025-001,Kouassi Jean,11.3,2026-04-12
2025-002,Traoré Marie,9.0,2026-02-11
2025-002,Traoré Marie,13.1,2026-03-13
2025-002,Traoré Marie,11.3,2026-04-12
2025-003,Dubois Paul,12.5,2026-02-11
2025-003,Dubois Paul,8.5,2026-03-13
2025-003,Dubois Paul,10.0,2026-04-12
2025-004,Koné Fatou,11.4,2026-02-11
2025-004,Koné Fatou,10.9,2026-03-13
2025-004,Koné Fatou,11.3,2026-04-12
2025-005,Diarra Mamadou,10.5,2026-02-11
2025-005,Diarra Mamadou,11.9,2026-03-13
2025-005,Diarra Mamadou,13.4,2026-04-12
2025-006,N'Guessan Aminata,12.9,2026-02-11
2025-006,N'Guessan Aminata,12.4,2026-03-13
2025-006,N'Guessan Aminata,10.9,2026-04-12
2025-007,Bamba Abdoulaye,8.2,2026-02-11
2025-007,Bamba Abdoulaye,9.1,2026-03-13
2025-007,Bamba Abdoulaye,13.7,2026-04-12
2025-008,Soro Nadia,4.5,2026-02-11
2025-008,Soro Nadia,6.5,2026-03-13
2025-008,Soro Nadia,4.7,2026-04-12
2025-009,Coulibaly Oumar,5.1,2026-02-11
2025-009,Coulibaly Oumar,4.3,2026-03-13
2025-009,Coulibaly Oumar,9.8,2026-04-12
2025-010,Touré Salimata,7.5,2026-02-11
2025-010,Touré Salimata,5.2,2026-03-13
2025-010,Touré Salimata,9.0,2026-04-12
