matricule,nom_eleve,note,date
2025-001,Kouassi Jean,13.5,2026-02-11
2025-001,Kouassi Jean,12.6,2026-03-13
2025-001,Kouassi Jean,16.0,2026-04-12
2025-002,Traoré Marie,7.8,2026-02-11
2025-002,Traoré Marie,4.3,2026-03-13
2025-002,Traoré Marie,7.2,2026-04-12
2025-003,Dubois Paul,12.3,2026-02-11
2025-003,Dubois Paul,14.8,2026-03-13
2025-003,Dubois Paul,13.7,2026-04-12
2025-004,Koné Fatou,14.2,2026-02-11
2025-004,Koné Fatou,13.0,2026-03-13
2025-004,Koné Fatou,12.4,2026-04-12
2025-005,Diarra Mamadou,12.4,2026-02-11
2025-005,Diarra Mamadou,12.5,2026-03-13
2025-005,Diarra Mamadou,10.5,2026-04-12
2025-006,N'Guessan Aminata,4.7,2026-02-11
2025-006,N'Guessan Aminata,4.7,2026-03-13
2025-006,N'Guessan Aminata,7.6,2026-04-12
2025-007,Bamba Abdoulaye,9.3,2026-02-11
2025-007,Bamba Abdoulaye,8.8,2026-03-13
2025-007,Bamba Abdoulaye,13.7,2026-04-12
2025-008,Soro Nadia,8.8,2026-02-11
2025-008,Soro Nadia,5.6,2026-03-13
2025-008,Soro Nadia,6.5,2026-04-12
2025-009,Coulibaly Oumar,17.1,2026-02-11
2025-009,Coulibaly Oumar,12.6,2026-03-13
2025-009,Coulibaly Oumar,13.5,2026-04-12
2025-010,Touré Salimata,5.3,2026-02-11
2025-010,Touré Salimata,6.3,2026-03-13
2025-010,Touré Salimata,6.4,2026-04-12
