matricule,nom_eleve,note,date
2025-001,Kouassi Jean,8.9,2026-02-11
2025-001,Kouassi Jean,12.7,2026-03-13
2025-001,Kouassi Jean,10.4,2026-04-12
2025-002,Traoré Marie,7.1,2026-02-11
2025-002,Traoré Marie,5.7,2026-03-13
2025-002,Traoré Marie,9.1,2026-04-12
2025-003,Dubois Paul,10.4,2026-02-11
2025-003,Dubois Paul,12.5,2026-03-13
2025-003,Dubois Paul,11.3,2026-04-12
2025-004,Koné Fatou,7.6,2026-02-11
2025-004,Koné Fatou,4.2,2026-03-13
2025-004,Koné Fatou,8.4,2026-04-12
2025-005,Diarra Mamadou,6.7,2026-02-11
2025-005,Diarra Mamadou,9.3,2026-03-13
2025-005,Diarra Mamadou,9.2,2026-04-12
2025-006,N'Guessan Aminata,9.2,2026-02-11
2025-006,N'Guessan Aminata,11.8,2026-03-13
2025-006,N'Guessan Aminata,11.9,2026-04-12
2025-007,Bamba Abdoulaye,16.0,2026-02-11
2025-007,Bamba Abdoulaye,15.9,2026-03-13
2025-007,Bamba Abdoulaye,12.4,2026-04-12
2025-008,Soro Nadia,8.6,2026-02-11
2025-008,Soro Nadia,8.9,2026-03-13
2025-008,Soro Nadia,10.1,2026-04-12
2025-009,Coulibaly Oumar,9.7,2026-02-11
2025-009,Coulibaly Oumar,7.6,2026-03-13
2025-009,Coulibaly Oumar,7.2,2026-04-12
2025-010,Touré Salimata,16.3,2026-02-11
2025-010,Touré Salimata,14.7,2026-03-13
2025-010,Touré Salimata,17.7,2026-04-12
