matricule,nom_eleve,note,date
2025-001,Kouassi Jean,14.2,2026-02-11
2025-001,Kouassi Jean,15.5,2026-03-13
2025-001,Kouassi Jean,13.2,2026-04-12
2025-002,Traoré Marie,5.4,2026-02-11
2025-002,Traoré Marie,6.2,2026-03-13
2025-002,Traoré Marie,5.0,2026-04-12
2025-003,Dubois Paul,9.7,2026-02-11
2025-003,Dubois Paul,6.9,2026-03-13
2025-003,Dubois Paul,7.5,2026-04-12
2025-004,Koné Fatou,9.7,2026-02-11
2025-004,Koné Fatou,8.7,2026-03-13
2025-004,Koné Fatou,4.5,2026-04-12
2025-005,Diarra Mamadou,17.5,2026-02-11
2025-005,Diarra Mamadou,13.8,2026-03-13
2025-005,Diarra Mamadou,13.6,2026-04-12
2025-006,N'Guessan Aminata,9.6,2026-02-11
2025-006,N'Guessan Aminata,10.5,2026-03-13
2025-006,N'Guessan Aminata,13.3,2026-04-12
2025-007,Bamba Abdoulaye,12.2,2026-02-11
2025-007,Bamba Abdoulaye,10.0,2026-03-13
2025-007,Bamba Abdoulaye,8.2,2026-04-12
2025-008,Soro Nadia,5.5,2026-02-11
2025-008,Soro Nadia,6.8,2026-03-13
2025-008,Soro Nadia,7.6,2026-04-12
2025-009,Coulibaly Oumar,16.9,2026-02-11
2025-009,Coulibaly Oumar,14.0,2026-03-13
2025-009,Coulibaly Oumar,14.3,2026-04-12
2025-010,Touré Salimata,12.1,2026-02-11
2025-010,Touré Salimata,13.9,2026-03-13
2025-010,Touré Salimata,14.5,2026-04-12
