matricule,nom_eleve,note,date
2025-001,Kouassi Jean,4.3,2026-02-11
2025-001,Kouassi Jean,10.0,2026-03-13
2025-001,Kouassi Jean,4.7,2026-04-12
2025-002,Traoré Marie,17.5,2026-02-11
2025-002,Traoré Marie,12.4,2026-03-13
2025-002,Traoré Marie,16.0,2026-04-12
2025-003,Dubois Paul,12.3,2026-02-11
2025-003,Dubois Paul,13.8,2026-03-13
2025-003,Dubois Paul,17.6,2026-04-12
2025-004,Koné Fatou,6.3,2026-02-11
2025-004,Koné Fatou,4.7,2026-03-13
2025-004,Koné Fatou,6.8,2026-04-12
2025-005,Diarra Mamadou,16.6,2026-02-11
2025-005,Diarra Mamadou,17.2,2026-03-13
2025-005,Diarra Mamadou,12.6,2026-04-12
2025-006,N'Guessan Aminata,12.7,2026-02-11
2025-006,N'Guessan Aminata,15.5,2026-03-13
2025-006,N'Guessan Aminata,15.3,2026-04-12
2025-007,Bamba Abdoulaye,15.9,2026-02-11
2025-007,Bamba Abdoulaye,12.3,2026-03-13
2025-007,Bamba Abdoulaye,13.7,2026-04-12
2025-008,Soro Nadia,13.2,2026-02-11
2025-008,Soro Nadia,13.5,2026-03-13
2025-008,Soro Nadia,15.8,2026-04-12
2025-009,Coulibaly Oumar,9.7,2026-02-11
2025-009,Coulibaly Oumar,11.5,2026-03-13
2025-009,Coulibaly Oumar,8.0,2026-04-12
2025-010,Touré Salimata,17.1,2026-02-11
2025-010,Touré Salimata,16.6,2026-03-13
2025-010,Touré Salimata,15.5,2026-04-12
