matricule,nom_eleve,note,date
2025-001,Kouassi Jean,8.7,2026-02-11
2025-001,Kouassi Jean,10.8,2026-03-13
2025-001,Kouassi Jean,13.1,2026-04-12
2025-002,Traoré Marie,6.3,2026-02-11
2025-002,Traoré Marie,8.1,2026-03-13
2025-002,Traoré Marie,4.3,2026-04-12
2025-003,Dubois Paul,7.0,2026-02-11
2025-003,Dubois Paul,4.4,2026-03-13
2025-003,Dubois Paul,7.1,2026-04-12
2025-004,Koné Fatou,15.3,2026-02-11
2025-004,Koné Fatou,15.9,2026-03-13
2025-004,Koné Fatou,14.9,2026-04-12
2025-005,Diarra Mamadou,10.0,2026-02-11
2025-005,Diarra Mamadou,8.1,2026-03-13
2025-005,Diarra Mamadou,6.6,2026-04-12
2025-006,N'Guessan Aminata,16.2,2026-02-11
2025-006,N'Guessan Aminata,15.2,2026-03-13
2025-006,N'Guessan Aminata,16.2,2026-04-12
2025-007,Bamba Abdoulaye,10.4,2026-02-11
2025-007,Bamba Abdoulaye,8.1,2026-03-13
2025-007,Bamba Abdoulaye,9.5,2026-04-12
2025-008,Soro Nadia,12.1,2026-02-11
2025-008,Soro Nadia,9.0,2026-03-13
2025-008,Soro Nadia,12.7,2026-04-12
2025-009,Coulibaly Oumar,7.3,2026-02-11
2025-009,Coulibaly Oumar,6.2,2026-03-13
2025-009,Coulibaly Oumar,8.1,2026-04-12
2025-010,Touré Salimata,5.3,2026-02-11
2025-010,Touré Salimata,6.6,2026-03-13
2025-010,Touré Salimata,5.5,2026-04-12
