matricule,nom_eleve,note,date
2025-001,Kouassi Jean,16.9,2026-02-11
2025-001,Kouassi Jean,12.7,2026-03-13
2025-001,Kouassi Jean,12.7,2026-04-12
2025-002,Traoré Marie,12.1,2026-02-11
2025-002,Traoré Marie,12.8,2026-03-13
2025-002,Traoré Marie,9.9,2026-04-12
2025-003,Dubois Paul,8.7,2026-02-11
2025-003,Dubois Paul,4.4,2026-03-13
2025-003,Dubois Paul,4.5,2026-04-12
2025-004,Koné Fatou,13.1,2026-02-11
2025-004,Koné Fatou,17.9,2026-03-13
2025-004,Koné Fatou,14.3,2026-04-12
2025-005,Diarra Mamadou,17.8,2026-02-11
2025-005,Diarra Mamadou,16.4,2026-03-13
2025-005,Diarra Mamadou,17.1,2026-04-12
2025-006,N'Guessan Aminata,6.5,2026-02-11
2025-006,N'Guessan Aminata,6.4,2026-03-13
2025-006,N'Guessan Aminata,5.2,2026-04-12
2025-007,Bamba Abdoulaye,17.9,2026-02-11
2025-007,Bamba Abdoulaye,16.0,2026-03-13
2025-007,Bamba Abdoulaye,16.0,2026-04-12
2025-008,Soro Nadia,6.2,2026-02-11
2025-008,Soro Nadia,4.2,2026-03-13
2025-008,Soro Nadia,8.8,2026-04-12
2025-009,Coulibaly Oumar,16.4,2026-02-11
2025-009,Coulibaly Oumar,14.8,2026-03-13
2025-009,Coulibaly Oumar,13.4,2026-04-12
2025-010,Touré Salimata,12.6,2026-02-11
2025-010,Touré Salimata,11.2,2026-03-13
2025-010,Touré Salimata,10.2,2026-04-12
