matricule,nom_eleve,note,date
2025-001,Kouassi Jean,10.2,2026-02-11
2025-001,Kouassi Jean,9.6,2026-03-13
2025-001,Kouassi Jean,8.9,2026-04-12
2025-002,Traoré Marie,14.2,2026-02-11
2025-002,Traoré Marie,13.7,2026-03-13
2025-002,Traoré Marie,17.4,2026-04-12
2025-003,Dubois Paul,6.2,2026-02-11
2025-003,Dubois Paul,4.6,2026-03-13
2025-003,Dubois Paul,5.4,2026-04-12
2025-004,Koné Fatou,9.2,2026-02-11
2025-004,Koné Fatou,6.8,2026-03-13
2025-004,Koné Fatou,9.2,2026-04-12
2025-005,Diarra Mamadou,12.4,2026-02-11
2025-005,Diarra Mamadou,11.1,2026-03-13
2025-005,Diarra Mamadou,8.9,2026-04-12
2025-006,N'Guessan Aminata,13.9,2026-02-11
2025-006,N'Guessan Aminata,16.1,2026-03-13
2025-006,N'Guessan Aminata,13.3,2026-04-12
2025-007,Bamba Abdoulaye,17.9,2026-02-11
2025-007,Bamba Abdoulaye,16.0,2026-03-13
2025-007,Bamba Abdoulaye,12.5,2026-04-12
2025-008,Soro Nadia,13.8,2026-02-11
2025-008,Soro Nadia,13.6,2026-03-13
2025-008,Soro Nadia,13.8,2026-04-12
2025-009,Coulibaly Oumar,12.3,2026-02-11
2025-009,Coulibaly Oumar,9.9,2026-03-13
2025-009,Coulibaly Oumar,12.4,2026-04-12
2025-010,Touré Salimata,11.5,2026-02-11
2025-010,Touré Salimata,11.3,2026-03-13
2025-010,Touré Salimata,11.2,2026-04-12
