matricule,nom_eleve,note,date
2025-001,Kouassi Jean,8.6,2026-02-11
2025-001,Kouassi Jean,12.8,2026-03-13
2025-001,Kouassi Jean,10.6,2026-04-12
2025-002,Traoré Marie,6.1,2026-02-11
2025-002,Traoré Marie,6.5,2026-03-13
2025-002,Traoré Marie,9.6,2026-04-12
2025-003,Dubois Paul,12.2,2026-02-11
2025-003,Dubois Paul,12.8,2026-03-13
2025-003,Dubois Paul,13.4,2026-04-12
2025-004,Koné Fatou,8.3,2026-02-11
2025-004,Koné Fatou,8.1,2026-03-13
2025-004,Koné Fatou,7.2,2026-04-12
2025-005,Diarra Mamadou,11.7,2026-02-11
2025-005,Diarra Mamadou,11.6,2026-03-13
2025-005,Diarra Mamadou,8.1,2026-04-12
2025-006,N'Guessan Aminata,8.9,2026-02-11
2025-006,N'Guessan Aminata,11.1,2026-03-13
2025-006,N'Guessan Aminata,9.9,2026-04-12
2025-007,Bamba Abdoulaye,10.5,2026-02-11
2025-007,Bamba Abdoulaye,13.7,2026-03-13
2025-007,Bamba Abdoulaye,11.6,2026-04-12
2025-008,Soro Nadia,7.1,2026-02-11
2025-008,Soro Nadia,7.5,2026-03-13
2025-008,Soro Nadia,9.2,2026-04-12
2025-009,Coulibaly Oumar,4.2,2026-02-11
2025-009,Coulibaly Oumar,7.0,2026-03-13
2025-009,Coulibaly Oumar,8.5,2026-04-12
2025-010,Touré Salimata,9.8,2026-02-11
2025-010,Touré Salimata,8.2,2026-03-13
2025-010,Touré Salimata,8.4,2026-04-12
